run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
14/03/2024 13:44,202401,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,D,S,26,0,1,0.0,25.925926,33.333333,18.518519,7.407407,11.111111,0.0,0.0,0.0,0.0,3.703704,21.0,31,96.774194,2.0
14/03/2024 13:44,202401,ABERDEEN,IRISH REPUBLIC,DUBLIN,LOGANAIR LTD,D,S,22,0,1,4.347826,17.391304,34.782609,17.391304,13.043478,4.347826,4.347826,0.0,0.0,0.0,4.347826,22.0,25,64.0,23.0
14/03/2024 13:44,202401,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,D,S,17,0,8,0.0,20.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,33,78.787879,9.0
14/03/2024 13:44,202401,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,D,S,113,0,0,0.0,20.353982,46.902655,10.619469,9.734513,8.849558,0.884956,2.654867,0.0,0.0,0.0,25.0,82,81.707317,9.0
14/03/2024 13:44,202401,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,D,S,50,0,3,1.886792,50.943396,24.528302,7.54717,3.773585,5.660377,0.0,0.0,0.0,0.0,5.660377,11.0,50,71.698113,13.0
14/03/2024 13:44,202401,ABERDEEN,NORWAY,HAUGESUND,EASTERN AIRWAYS,D,C,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
14/03/2024 13:44,202401,ABERDEEN,NORWAY,STAVANGER,SAS,D,S,30,0,5,2.857143,11.428571,48.571429,2.857143,2.857143,11.428571,0.0,5.714286,0.0,0.0,14.285714,34.0,40,62.790698,18.0
14/03/2024 13:44,202401,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,D,S,37,0,3,12.5,42.5,17.5,5.0,10.0,5.0,0.0,0.0,0.0,0.0,7.5,12.0,43,88.636364,3.0
14/03/2024 13:44,202401,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),TUI AIRWAYS LTD,D,C,9,0,0,0.0,11.111111,66.666667,11.111111,0.0,11.111111,0.0,0.0,0.0,0.0,0.0,14.0,8,50.0,16.0
14/03/2024 13:44,202401,ABERDEEN,SWITZERLAND,GENEVA,EASYJET UK LTD,D,S,4,0,0,0.0,0.0,0.0,25.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,43.0,4,0.0,45.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,ABERDEEN,LOGANAIR LTD,D,S,15,0,3,0.0,33.333333,5.555556,0.0,22.222222,11.111111,0.0,11.111111,0.0,0.0,16.666667,54.0,23,78.26087,14.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BELFAST INTERNATIONAL,EASYJET UK LTD,D,S,2,0,0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,0.0,
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,AER LINGUS,D,S,1,0,9,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,28.0,98,89.108911,4.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,EMERALD AIRLINES UK LTD,D,S,115,0,5,0.833333,45.0,29.166667,8.333333,3.333333,5.833333,3.333333,0.0,0.0,0.0,4.166667,14.0,5,100.0,0.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BRISTOL,EASYJET UK LTD,D,S,18,0,1,10.526316,36.842105,36.842105,10.526316,0.0,0.0,0.0,0.0,0.0,0.0,5.263158,6.0,9,77.777778,4.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,EMERALD AIRLINES UK LTD,D,S,22,0,0,0.0,18.181818,36.363636,18.181818,9.090909,4.545455,9.090909,4.545455,0.0,0.0,0.0,37.0,14,92.857143,2.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EMERALD AIRLINES UK LTD,D,S,43,0,1,0.0,45.454545,36.363636,6.818182,4.545455,0.0,2.272727,2.272727,0.0,0.0,2.272727,14.0,0,0.0,
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,AER LINGUS,D,S,5,0,7,0.0,16.666667,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.333333,3.0,71,97.183099,3.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,EMERALD AIRLINES UK LTD,D,S,85,0,3,4.545455,53.409091,19.318182,4.545455,7.954545,3.409091,0.0,3.409091,0.0,0.0,3.409091,17.0,5,100.0,0.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EXETER,EMERALD AIRLINES UK LTD,D,S,17,0,0,0.0,47.058824,17.647059,17.647059,5.882353,5.882353,5.882353,0.0,0.0,0.0,0.0,22.0,0,0.0,
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,EASYJET UK LTD,D,S,9,0,0,11.111111,77.777778,11.111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13,92.307692,3.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,EMERALD AIRLINES UK LTD,D,S,32,0,2,0.0,32.352941,32.352941,11.764706,5.882353,11.764706,0.0,0.0,0.0,0.0,5.882353,17.0,42,97.619048,2.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,INVERNESS,LOGANAIR LTD,D,S,14,0,1,0.0,60.0,6.666667,0.0,13.333333,6.666667,6.666667,0.0,0.0,0.0,6.666667,20.0,19,100.0,2.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,ISLE OF MAN,EMERALD AIRLINES UK LTD,D,S,3,0,0,0.0,66.666667,0.0,0.0,33.333333,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0,0.0,
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,AER LINGUS,D,S,4,0,6,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,60.0,19.0,24,96.0,0.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,EMERALD AIRLINES UK LTD,D,S,52,0,2,5.555556,42.592593,29.62963,3.703704,3.703704,9.259259,1.851852,0.0,0.0,0.0,3.703704,15.0,46,100.0,1.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LIVERPOOL (JOHN LENNON),EASYJET UK LTD,D,S,45,0,2,4.255319,53.191489,25.531915,6.382979,4.255319,0.0,0.0,2.12766,0.0,0.0,4.255319,9.0,27,81.481481,8.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GATWICK,EASYJET UK LTD,D,S,68,0,1,0.0,56.521739,30.434783,4.347826,5.797101,1.449275,0.0,0.0,0.0,0.0,1.449275,6.0,58,93.103448,3.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,D,S,158,0,7,2.424242,52.727273,23.030303,9.090909,6.666667,0.606061,1.212121,0.0,0.0,0.0,4.242424,9.0,114,68.965517,15.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LONDON CITY,BA CITYFLYER LTD,D,S,46,0,2,0.0,54.166667,33.333333,2.083333,2.083333,2.083333,0.0,2.083333,0.0,0.0,4.166667,9.0,61,96.721311,3.0
14/03/2024 13:44,202401,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LUTON,EASYJET UK LTD,D,S,13,0,0,0.0,61.538462,30.769231,0.0,0.0,0.0,7.692308,0.0,0.0,0.0,0.0,12.0,0,0.0,
